Username,Password,Color

JaydenB,SKIBIDI,"rgb(189,143,172)"
SKIBIT,SKIBIT,"rgb(66,113,121)"
SKIBITY,BITCH,"rgb(123,161,210)"
KarthikB,Axxess,"rgb(182,140,12)"
testLogin,test,"rgb(77,71,22)"
test2,skibidi,"rgb(173,243,96)"
test3,skibidi,"rgb(17,248,176)"
test4,skibidi],"rgb(34,120,10)"

bitty,bity,"rgb(207,223,39)"
bitty1,bity,"rgb(237,127,135)"
bitty2,bity,"rgb(172,74,227)"
bitty3,bity,"rgb(98,16,121)"
skib3,skib,"rgb(137,5,77)"
skib4,skib,"rgb(105,122,68)"
skib5,skib,"rgb(235,74,148)"
skib6,skib,"rgb(244,33,161)"
